state,year,year_index,ipc_crimes,sll_crimes,total_crimes,growth_rate,avg_3yr_ipc,ipc_sll_ratio
Chhattisgarh,2012,9,54598,264017,318615,-0.04578978643084344,55591.333333333336,0.20679728956847476
Chhattisgarh,2013,10,56870,232949,289819,0.04161324590644346,56228.666666666664,0.2441306895500732
Chhattisgarh,2014,11,58200,285611,343811,0.02338667135572358,56556.0,0.20377366417960094
Chhattisgarh,2015,12,56692,30563,87255,-0.025910652920962198,57254.0,1.8549226188528614
Chhattisgarh,2016,13,55029,29163,84192,-0.02933394482466662,56640.333333333336,1.886945787470425
Chhattisgarh,2017,14,58481,32035,90516,0.06273056025004997,56734.0,1.8255345715623537
Chhattisgarh,2018,15,60178,38055,98233,0.029017971648911612,57896.0,1.58134279332545
Chhattisgarh,2019,16,61256,35305,96561,0.017913523214463756,59971.666666666664,1.735051692394845
Chhattisgarh,2020,17,65216,37957,103173,0.06464672848374037,62216.666666666664,1.7181547540638091
Goa,2003,0,2244,3104,5348,0.0,2244.0,0.7229381443298969
Goa,2004,1,2127,4770,6897,-0.05213903743315508,2127.0,0.4459119496855346
Goa,2005,2,2119,3995,6114,-0.0037611659614480487,2163.3333333333335,0.5304130162703379
Goa,2006,3,2204,3958,6162,0.04011326097215668,2150.0,0.5568468923698838
Goa,2007,4,2479,3253,5732,0.12477313974591651,2267.3333333333335,0.762065785428835
Goa,2008,5,2742,2413,5155,0.10609116579265833,2475.0,1.1363447990053874
Goa,2009,6,3005,2577,5582,0.09591539022611233,2742.0,1.1660845944897167
Goa,2010,7,3293,2868,6161,0.09584026622296173,3013.3333333333335,1.1481868898186889
Goa,2011,8,3449,2833,6282,0.047373215912541754,3249.0,1.217437345570067
Goa,2012,9,3608,2329,5937,0.04610031893302406,3450.0,1.549162730785745
Goa,2013,10,4312,3200,7512,0.1951219512195122,3789.6666666666665,1.3475
Goa,2014,11,4466,3006,7472,0.03571428571428571,4128.666666666667,1.4856952761144377
Goa,2015,12,3074,1482,4556,-0.3116883116883117,3950.6666666666665,2.0742240215924426
